ID da fila;ID do pedido;Data do pedido;Data de envio;Modo de envio;ID do cliente;Nome do cliente;Segmento;Cidade;Estado;País/Região;Região;Iddoproduto;Categoria;Sub-categoria;Nomedoproduto;Custo;Vendas;Quantidade;Desconto;Lucro;Meta
2382;MX-2021-117352;05/02/2021;09/02/2021;Segunda classe;AL-10210;Alex Lima;Varejo;Mixco;Guatemala;Guatemala;Central;TEC-TE-10000636;Tecnologia;Telefones;Nokia Carregador, Tamanhos variados;2538,83;29815,8;7;0;27262,4;54544,78
2283;MX-2019-164791;07/12/2019;09/12/2019;Primeira classe;MF-18985;Miguel Ferreira;Pequenas e Medias Empresas;Salto;São Paulo;Brasil;Sul;TEC-AC-10001054;Tecnologia;Acessórios;Memorex Roteador, Econômico;918,63;22979,6;14;0;22046,4;44112,78
2332;MX-2019-124611;04/09/2019;07/09/2019;Segunda classe;FC-14290;Fernanda Castro;Pequenas e Medias Empresas;San Fernando;San Fernando;Trinidad e Tobago;Caribe;MÓV-ME-10002663;Móveis;Mesas;Barricks Mesa de madeira, Branco;1782,83;17189,98;6;0;18967,4;37954,78
989;MX-2019-135076;14/09/2019;16/09/2019;Segunda classe;EC-13375;Emilly Cunha;Varejo;Guanajuato;Guanajuato;México;Norte;TEC-AC-10000310;Tecnologia;Acessórios;Memorex Roteador, Reciclado;861,63;19521,6;12;0;18645,4;37310,78
3148;MX-2020-147844;16/11/2020;20/11/2020;Classe padrão;BC-11425;Brenda Correia;Varejo;Metepec;México;México;Norte;TEC-TE-10002243;Tecnologia;Telefones;Cisco Carregador, Tamanho real;2854,83;30458,4;7;0;27589;55197,98
4401;MX-2021-126711;24/06/2021;26/06/2021;Segunda classe;SA-20215;Samuel Almeida;Varejo;Cidade do México;Distrito Federal;México;Norte;TEC-TE-10002243;Tecnologia;Telefones;Cisco Carregador, Tamanho real;2854,83;30458,4;7;0;27589;55197,98
8251;MX-2020-100223;10/10/2020;15/10/2020;Classe padrão;LA-17635;Luis Alves;Grande Empresa;Cidade do México;Distrito Federal;México;Norte;TEC-TE-10002243;Tecnologia;Telefones;Cisco Carregador, Tamanho real;2854,83;30458,4;7;0;27589;55197,98
6005;MX-2018-109267;05/01/2018;09/01/2018;Classe padrão;IC-15430;Isabelle Costa;Varejo;Poza Rica de Hidalgo;Veracruz;México;Norte;MAT-AC-10004675;Material de escritório;Eletrônicos;Hoover Forno, Preto;2519,83;30288;8;0;27753,6;55527,18
9566;MX-2019-102848;27/09/2019;29/09/2019;Primeira classe;DF-12820;Davi Ferreira;Pequenas e Medias Empresas;Mixco;Guatemala;Guatemala;Central;TEC-CO-10000083;Tecnologia;Copiadoras;Sharp Fax sem fio, Colorida;1269,63;16472,6616;8;0,002;17736,8816;35493,7432
2644;MX-2020-137330;22/05/2020;24/05/2020;Segunda classe;LS-17350;Livia Santos;Varejo;San Salvador;San Salvador;El Salvador;Central;TEC-TE-10002079;Tecnologia;Telefones;Nokia Carregador, Azul;2569,83;25442,4;6;0;22858;45735,98
7385;MX-2018-142015;15/10/2018;19/10/2018;Classe padrão;DS-13030;Diogo Sousa;Pequenas e Medias Empresas;Managua;Managua;Nicarágua;Central;TEC-TE-10002079;Tecnologia;Telefones;Nokia Carregador, Azul;2569,83;25442,4;6;0;22858;45735,98
4393;MX-2021-152961;19/03/2021;21/03/2021;Primeira classe;BA-11320;Brenda Almeida;Pequenas e Medias Empresas;Morelia;Michoacán;México;Norte;MAT-AC-10003948;Material de escritório;Eletrônicos;Hoover Forno, Branco;1985,23;18887;5;0;16887,2;33794,38
4550;MX-2020-165071;24/10/2020;29/10/2020;Classe padrão;EF-13630;Enzo Ferreira;Varejo;Montenegro;Quindío;Colômbia;Sul;MAT-AC-10003948;Material de escritório;Eletrônicos;Hoover Forno, Branco;1985,23;18887;5;0;16887,2;33794,38
4569;MX-2021-123512;15/05/2021;19/05/2021;Classe padrão;ÁC-10075;Ágatha Correia;Grande Empresa;Milpa Alta;Distrito Federal;México;Norte;MAT-AC-10004353;Material de escritório;Eletrônicos;Hamilton Beach Geladeira, Prata;1886,43;20035,2;6;0;18134,2;36288,38
2080;MX-2018-138002;11/11/2018;16/11/2018;Segunda classe;LS-17350;Livia Santos;Varejo;Medellín;Antioquia;Colômbia;Sul;MAT-AC-10004881;Material de escritório;Eletrônicos;KitchenAid Geladeira, Prata;2556,03;31721,4;9;0;29150,8;58321,58
6921;MX-2020-143665;05/12/2020;06/12/2020;Primeira classe;SB-20590;Sophia Barros;Varejo;Camagüey;Camagüey;Cuba;Caribe;TEC-TE-10000636;Tecnologia;Telefones;Nokia Carregador, Tamanhos variados;2538,83;21297;5;0;18743,6;37507,18
5305;MX-2021-117051;12/10/2021;15/10/2021;Primeira classe;VC-21250;Vinícius Cardoso;Varejo;Santiago de Cuba;Santiago de Cuba;Cuba;Caribe;MÓV-ME-10002205;Móveis;Mesas;Chromcraft Mesa para computador, Montado;1466,03;11888,78;5;0;13349,4;26718,78
7653;MX-2021-133473;08/11/2021;14/11/2021;Classe padrão;AC-10885;Arthur Cavalcanti;Varejo;Cidade do México;Distrito Federal;México;Norte;TEC-CO-10004061;Tecnologia;Copiadoras;Brother Fax, Colorida;1220,43;14581,4488;8;0,002;15796,4688;31612,9176
9061;MX-2020-169096;30/05/2020;03/06/2020;Classe padrão;ES-13915;Estevan Santos;Varejo;Monterrey;Novo Leão;México;Norte;TEC-CO-10001549;Tecnologia;Copiadoras;Brother Fax, Vermelho;1207,83;14434,1944;8;0,002;15636,6144;31293,2088
7902;MX-2021-107181;02/12/2021;06/12/2021;Segunda classe;LA-17635;Luis Alves;Grande Empresa;Santa Cruz de Barahona;Barahona;República Dominicana;Caribe;TEC-AC-10004216;Tecnologia;Acessórios;SanDisk Roteador, Econômico;871,83;19140,8;14;0,2;18254,4;36528,78
8008;MX-2020-157868;29/01/2020;31/01/2020;Primeira classe;AR-10435;Aline Rodrigues;Pequenas e Medias Empresas;Guaymas;Sonora;México;Norte;MAT-AC-10000080;Material de escritório;Eletrônicos;Hoover Geladeira, Vermelho;2368,83;24558,8;7;0;22175,4;44370,78
5100;MX-2018-136399;21/06/2018;26/06/2018;Classe padrão;VS-21805;Vitoria Silva;Grande Empresa;Guanajuato;Guanajuato;México;Norte;TEC-CO-10000025;Tecnologia;Copiadoras;Hewlett Fax sem fio, Digital;1375,83;12401,9936;6;0,002;13772,4136;27564,8072
9668;MX-2019-147823;04/05/2019;10/05/2019;Classe padrão;TF-20920;Tiago Ferreira;Varejo;São Paulo;São Paulo;Brasil;Sul;TEC-CO-10000025;Tecnologia;Copiadoras;Hewlett Fax sem fio, Digital;1375,83;12401,9936;6;0,002;13772,4136;27564,8072
8321;MX-2021-119508;16/08/2021;21/08/2021;Classe padrão;BC-11665;Bruna Cunha;Varejo;Sapucaia do Sul;Rio Grande do Sul;Brasil;Sul;MAT-AC-10004176;Material de escritório;Eletrônicos;Breville Geladeira, Prata;1994,03;17336;5;0;15327,4;30674,78
4224;MX-2021-143273;03/06/2021;05/06/2021;Segunda classe;VS-21580;Vitor Silva;Varejo;Guaymas;Sonora;México;Norte;MAT-AR-10001101;Material de escritório;Armazenamento;Fellowes Armários, Azul;701,83;12439,8;9;0;11723,4;23466,78
7697;MX-2021-160311;04/07/2021;08/07/2021;Classe padrão;MC-17965;Manuela Correia;Grande Empresa;Manaus;Amazonas;Brasil;Sul;TEC-AC-10000310;Tecnologia;Acessórios;Memorex Roteador, Reciclado;861,63;13014,4;8;0;12138,2;24296,38
7045;MX-2021-118332;24/03/2021;28/03/2021;Classe padrão;MS-18385;Marina Souza;Varejo;Ciudad Juárez;Chihuahua;México;Norte;MÓV-ME-10002977;Móveis;Mesas;Barricks Mesa de madeira, Preto;1878,63;18289,26;8;0,2;20162,48;40344,94
238;MX-2019-125234;15/09/2019;20/09/2019;Classe padrão;LR-17245;Letícia Rocha;Varejo;Tlalnepantla;México;México;Norte;MAT-AC-10000709;Material de escritório;Eletrônicos;KitchenAid Forno, Preto;2527,23;22783,2;6;0;20241,4;40502,78
